% Open solar flux
% 27-day means(Bartel Rotation Periods) for 1964-December 2018 (inclusive)
% Kinematically corrected to remove folded flux
% please acknowledge M. Lockwood, University of Reading, UK
% and cite
% M. Lockwood, M. Owens, and A.P. Rouillard (2009)
% Excess Open Solar Magnetic Flux from Satellite Data: II. A survey of kinematic effects
% J. Geophys. Res., 114, A11104, doi: 10.1029/2009JA014450
% and 
% M. Lockwood, M. Owens, and A.P. Rouillard
% Excess Open Solar Magnetic Flux from Satellite Data: I. Analysis of the 3rd Perihelion Ulysses Pass
% J. Geophys. Res., 114, A11103, doi:10.1029/2009JA014449, 2009   

%  decimal year    OSF (10^15 Wb)         B (nT)       |Br| (nT)
   1.9782890e+03   4.6397331e-01   7.4337793e+00   3.7040134e+00
   1.9783630e+03   4.3357163e-01   8.2695946e+00   3.8621622e+00
   1.9784369e+03   2.5778948e-01   7.2124555e+00   2.5996441e+00
   1.9785109e+03   4.1663933e-01   7.1602094e+00   3.9136126e+00
   1.9785849e+03   2.8327958e-01   6.3106897e+00   2.9472414e+00
   1.9786588e+03   2.9843132e-01   6.3879173e+00   3.0825119e+00
   1.9787328e+03   3.0870912e-01   6.4029549e+00   3.1259720e+00
   1.9788068e+03   3.0014466e-01   7.0759554e+00   3.3103503e+00
   1.9788808e+03   3.2851767e-01   7.1323944e+00   3.3719875e+00
   1.9789547e+03   3.3458709e-01   7.3605388e+00   3.3541997e+00
   1.9790287e+03   3.9128612e-01   7.8441786e+00   3.7515152e+00
   1.9791027e+03   4.6079949e-01   7.8161085e+00   4.0580542e+00
   1.9791767e+03   4.4053236e-01   8.0909677e+00   4.0141935e+00
   1.9792506e+03   4.9358134e-01   9.5041534e+00   4.7217252e+00
   1.9793246e+03   4.4061205e-01   7.5898596e+00   4.1081123e+00
   1.9793986e+03   4.7435127e-01   7.9094574e+00   4.0879070e+00
   1.9794725e+03   4.1330163e-01   7.1266458e+00   3.7992163e+00
   1.9795465e+03   3.8657613e-01   7.0948995e+00   3.6868624e+00
   1.9796205e+03   3.5165371e-01   7.1679749e+00   3.6395604e+00
   1.9796945e+03   3.0297758e-01   7.5687204e+00   3.2161137e+00
   1.9797684e+03   3.9404733e-01   7.1100494e+00   3.5802306e+00
   1.9798424e+03   3.8132078e-01   7.8074450e+00   3.3725888e+00
   1.9799164e+03   1.8970000e-01   6.6718850e+00   2.4167732e+00
   1.9799904e+03   2.9973074e-01   6.9101613e+00   3.0379032e+00
   1.9800642e+03   3.1919223e-01   7.1401361e+00   3.2448980e+00
   1.9801379e+03   2.9539110e-01   7.0473230e+00   2.7089810e+00
   1.9802117e+03   3.4230672e-01   6.2441034e+00   2.7720517e+00
   1.9802855e+03   3.5374086e-01   6.1516535e+00   2.8524409e+00
   1.9803592e+03   3.1803007e-01   6.2882353e+00   2.5907790e+00
   1.9804330e+03   3.9194077e-01   7.0395731e+00   3.1254516e+00
