%% Annual open solar flux values in units of 10^14 Wb
%%            (corrected for kinematic solar wind effects)
%% column 1 - year
%% column 2 - open solar flux from model and geomagnetic activity data
%%            values after 1900 are from geomagnetic activity using the
%%            aa and m indices using the method of Lockwood et al. (2009)
%%            values before 1900 are from the model of Vieira and Solanki (2010)
%% column 3 - open solar flux from near-Earth IMF magnetometer data
%% bad/missing data code = NaN 
%%
%% when using please cite references
%% Lockwood, M., A.P. Rouillard, and I.D. Finch 
%% The rise and fall of open solar flux during the current grand solar maximum, 
%% Ap. J., 700, 937–944, 2009. doi:10.1088/0004-637X/700/2/937
%%
%% Lockwood, M., R. Stamper and M.N. Wild
%% A doubling of the sun's coronal magnetic field during the last 100 years
%% Nature, 399, 437-439, 1999
%%
%% Vieira, L.E.A. and S.K. Solanki
%% Evolution of the solar magnetic flux on time scales of years to millennia
%% Astron & Astrophys, 509(1), A100, 2010. doi: 10.1051/0004-6361/200913276 2010
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
% date            OSF                  OSF
%                 from model and       from satellite
%                 geomagnetic data     IMF data  
  1.8885000e+003  1.6947553e+000             NaN
  1.8895000e+003  1.6691688e+000             NaN
  1.8905000e+003  1.6823861e+000             NaN
  1.8915000e+003  2.0016450e+000             NaN
  1.8925000e+003  2.4871254e+000             NaN
  1.8935000e+003  2.8242478e+000             NaN
  1.8945000e+003  3.0276089e+000             NaN
  1.8955000e+003  2.8016076e+000             NaN
  1.8965000e+003  2.4556584e+000             NaN
  1.8975000e+003  2.2593129e+000             NaN
  1.8985000e+003  2.1401338e+000             NaN
  1.8995000e+003  1.9768270e+000             NaN
  1.9005000e+003  1.8653795e+000             NaN
  1.9015000e+003  1.7345176e+000             NaN
  1.9025000e+003  1.6806643e+000             NaN
  1.9035000e+003  1.8064747e+000             NaN
  1.9045000e+003  1.3866538e+000             NaN
  1.9055000e+003  2.0273592e+000             NaN
  1.9065000e+003  1.5356396e+000             NaN
  1.9075000e+003  2.1364864e+000             NaN
  1.9085000e+003  2.5016311e+000             NaN
  1.9095000e+003  2.0822094e+000             NaN
  1.9105000e+003  2.4533282e+000             NaN
  1.9115000e+003  2.0353353e+000             NaN
  1.9125000e+003  1.3539445e+000             NaN
  1.9135000e+003  1.2208112e+000             NaN
  1.9145000e+003  1.8551698e+000             NaN
  1.9155000e+003  2.9664609e+000             NaN
  1.9165000e+003  3.2597556e+000             NaN
  1.9175000e+003  3.5323056e+000             NaN
  1.9185000e+003  3.9195960e+000             NaN
  1.9195000e+003  3.6291705e+000             NaN
  1.9205000e+003  3.0607948e+000             NaN
  1.9215000e+003  2.1732473e+000             NaN
  1.9225000e+003  2.4141734e+000             NaN
  1.9235000e+003  1.5337472e+000             NaN
  1.9245000e+003  1.6660568e+000             NaN
  1.9255000e+003  2.4989465e+000             NaN
  1.9265000e+003  3.6153313e+000             NaN
  1.9275000e+003  2.9230508e+000             NaN
  1.9285000e+003  3.2166300e+000             NaN
  1.9295000e+003  3.5544713e+000             NaN
  1.9305000e+003  3.8352114e+000             NaN
  1.9315000e+003  2.8279852e+000             NaN
  1.9325000e+003  2.8199827e+000             NaN
  1.9335000e+003  2.5004386e+000             NaN
  1.9345000e+003  2.2371300e+000             NaN
  1.9355000e+003  2.6732176e+000             NaN
  1.9365000e+003  3.0859666e+000             NaN
  1.9375000e+003  3.8839641e+000             NaN
  1.9385000e+003  3.8448452e+000             NaN
  1.9395000e+003  4.5986121e+000             NaN
  1.9405000e+003  3.9340978e+000             NaN
  1.9415000e+003  4.2289323e+000             NaN
  1.9425000e+003  3.2094526e+000             NaN
  1.9435000e+003  3.4223388e+000             NaN
  1.9445000e+003  2.8988181e+000             NaN
  1.9455000e+003  2.8218775e+000             NaN
  1.9465000e+003  4.4136482e+000             NaN
  1.9475000e+003  5.1187465e+000             NaN
  1.9485000e+003  4.2204519e+000             NaN
  1.9495000e+003  4.6764537e+000             NaN
  1.9505000e+003  4.6396320e+000             NaN
  1.9515000e+003  4.2170630e+000             NaN
  1.9525000e+003  3.8346020e+000             NaN
  1.9535000e+003  3.2575125e+000             NaN
  1.9545000e+003  2.8052806e+000             NaN
  1.9555000e+003  3.0487666e+000             NaN
  1.9565000e+003  4.8152120e+000             NaN
  1.9575000e+003  5.5652597e+000             NaN
  1.9585000e+003  5.1126133e+000             NaN
  1.9595000e+003  5.0198015e+000             NaN
  1.9605000e+003  5.3950518e+000             NaN
  1.9615000e+003  3.8556956e+000             NaN
